index,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Firmicutes,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Campylobacterota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Entotheonellaeota,Unassigned;__,d__Bacteria;__,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Latescibacterota,d__Bacteria;p__Synergistota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__WPS-2,d__Bacteria;p__Thermotogota,d__Bacteria;p__Rs-K70_termite_group,suborder
Anisoptera,1290.0,38405.0,19491.0,3890.0,1230.0,939.0,619.0,1062.0,64.0,42.0,165.0,0.0,59.0,355.0,66.0,90.0,1.0,7.0,4.0,71.0,24.0,43.0,108.0,20.0,9.0,6.0,0.0,0.0,2.0,0.0,10.0,16.0,0.0,1.0,Anisoptera
Zygoptera,1366.0,77271.0,12934.0,2707.0,1388.0,1404.0,634.0,1051.0,37.0,91.0,305.0,1.0,66.0,403.0,97.0,70.0,13.0,11.0,6.0,36.0,13.0,26.0,393.0,13.0,5.0,5.0,4.0,28.0,1.0,3.0,0.0,8.0,4.0,0.0,Zygoptera
