index,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Firmicutes,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Campylobacterota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Entotheonellaeota,Unassigned;__,d__Bacteria;__,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Latescibacterota,d__Bacteria;p__Synergistota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__WPS-2,d__Bacteria;p__Thermotogota,d__Bacteria;p__Rs-K70_termite_group,body.site
A,1288.0,57789.0,21127.0,3176.0,1160.0,1243.0,707.0,952.0,51.0,99.0,274.0,0.0,99.0,598.0,88.0,42.0,1.0,16.0,5.0,57.0,25.0,36.0,51.0,19.0,13.0,4.0,0.0,25.0,2.0,1.0,10.0,5.0,0.0,0.0,A
TH,1368.0,57887.0,11298.0,3421.0,1458.0,1100.0,546.0,1161.0,50.0,34.0,196.0,1.0,26.0,160.0,75.0,118.0,13.0,2.0,5.0,50.0,12.0,33.0,450.0,14.0,1.0,7.0,4.0,3.0,1.0,2.0,0.0,19.0,4.0,1.0,TH
