index,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Firmicutes,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Campylobacterota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Entotheonellaeota,Unassigned;__,d__Bacteria;__,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Latescibacterota,d__Bacteria;p__Synergistota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__WPS-2,d__Bacteria;p__Thermotogota,d__Bacteria;p__Rs-K70_termite_group,water.type
Lentic,656.0,25414.0,7461.0,1257.0,492.0,352.0,259.0,501.0,3.0,19.0,38.0,0.0,54.0,129.0,1.0,54.0,0.0,3.0,1.0,4.0,19.0,22.0,21.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,Lentic
Lotic,2000.0,90262.0,24964.0,5340.0,2126.0,1991.0,994.0,1612.0,98.0,114.0,432.0,1.0,71.0,629.0,162.0,106.0,14.0,15.0,9.0,103.0,18.0,47.0,480.0,27.0,14.0,5.0,4.0,28.0,3.0,3.0,10.0,18.0,4.0,1.0,Lotic
