index,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Firmicutes,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Campylobacterota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Entotheonellaeota,Unassigned;__,d__Bacteria;__,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Latescibacterota,d__Bacteria;p__Synergistota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__WPS-2,d__Bacteria;p__Thermotogota,d__Bacteria;p__Rs-K70_termite_group,sex
M,1924.0,90104.0,25767.0,4007.0,1722.0,1569.0,827.0,1327.0,64.0,65.0,284.0,1.0,99.0,606.0,105.0,84.0,13.0,11.0,8.0,90.0,22.0,43.0,441.0,10.0,5.0,5.0,2.0,2.0,3.0,3.0,0.0,2.0,4.0,1.0,M
F,732.0,25572.0,6658.0,2590.0,896.0,774.0,426.0,786.0,37.0,68.0,186.0,0.0,26.0,152.0,58.0,76.0,1.0,7.0,2.0,17.0,15.0,26.0,60.0,23.0,9.0,6.0,2.0,26.0,0.0,0.0,10.0,22.0,0.0,0.0,F
